COD_DANE_A,Residential buildings (TVIVIENDA),Residential Occupied&Used (TP15_1_OCU),Residential Occupied&Empty (TP15_2_OCU),Residential Temporary (TP15_3_OCU),Residential Empty (TP15_4_OCU),Households (TP16_HOG),Residential Electricity Y (TP19_EE_1),Residential Electricity N (TP19_EE_2)
0504510000000000030315,31,28,0,0,3,28,28,0
0504510000000000030318,0,0,0,0,0,0,0,0
0504510000000000030317,38,38,0,0,0,38,38,0
0504510000000000030312,44,32,4,1,7,33,32,0
0504510000000000030311,29,28,0,0,1,28,28,0
0504510000000000030314,30,28,0,0,2,28,28,0
0504510000000000030313,25,25,0,0,0,26,25,0
0504510000000000030401,49,49,0,0,0,56,49,0
0504510000000000030325,0,0,0,0,0,0,0,0
0504510000000000030403,36,35,0,0,1,36,35,0
0504510000000000030402,13,12,0,0,1,14,12,0
0504510000000000030322,0,0,0,0,0,0,0,0
0504510000000000030321,16,14,0,0,2,18,14,0
0504510000000000030324,0,0,0,0,0,0,0,0
0504510000000000030323,12,12,0,0,0,14,12,0
0504510000000000030224,31,27,0,0,4,27,27,0
0504510000000000030223,0,0,0,0,0,0,0,0
0504510000000000030226,28,19,5,1,3,19,19,0
0504510000000000030225,34,27,3,4,0,27,26,1
0504510000000000030220,48,36,9,0,3,36,36,0
0504510000000000030219,39,35,0,0,4,36,35,0
0504510000000000030222,63,48,9,0,6,51,48,0
0504510000000000030221,38,37,0,0,1,37,36,1
0504510000000000030307,28,25,0,1,2,25,25,0
0504510000000000030306,32,32,0,0,0,32,32,0
0504510000000000030310,27,24,2,1,0,25,24,0
0504510000000000030308,26,25,0,0,1,25,25,0
0504510000000000030303,21,20,0,0,1,20,20,0
0504510000000000030227,22,18,4,0,0,18,18,0
0504510000000000030305,30,28,0,0,2,29,28,0
0504510000000000030304,36,33,0,1,2,38,33,0
0503010000000000010130,8,7,0,1,0,7,7,0
0503010000000000010127,0,0,0,0,0,0,0,0
0503010000000000010132,133,119,5,1,8,124,117,2
